network_size,frac_semantic
2,0.19999999999999996
2,0.19999999999999996
2,0.5714285714285714
2,0.5
2,0.4
3,0.6
3,0.1428571428571429
3,0.4
3,0.1428571428571429
3,0.33333333333333337
4,0.33333333333333337
4,0.19999999999999996
4,0.5
4,0.33333333333333337
4,0.4285714285714286
5,0.5714285714285714
5,0.125
5,0.5714285714285714
5,0.5
5,0.6
6,0.8
6,0.5
6,0.4
6,0.8
6,0.4285714285714286
7,0.6
7,0.5
7,0.625
7,0.4285714285714286
7,0.6
8,0.75
8,0.7142857142857143
8,0.75
8,0.8571428571428572
8,0.8571428571428572
9,0.875
9,0.4444444444444444
9,0.75
9,0.5
9,0.7142857142857143
10,1.0
10,0.33333333333333337
10,0.6
10,0.6666666666666667
10,0.375
11,0.6
11,0.6
11,0.8333333333333334
11,0.75
11,0.33333333333333337
12,0.8333333333333334
12,0.5
12,0.6
12,0.5
12,0.4
13,0.5714285714285714
13,0.16666666666666663
13,0.8571428571428572
13,0.5714285714285714
13,0.5
14,0.6
14,0.5714285714285714
14,0.6666666666666667
14,0.33333333333333337
14,0.7777777777777778
15,0.5
15,0.2857142857142857
15,0.375
15,0.6
15,0.5
16,0.4
16,0.4
16,0.75
16,0.5
16,0.2857142857142857
17,0.5714285714285714
17,0.16666666666666663
17,0.5
17,0.19999999999999996
17,0.4
18,0.4
18,0.4
18,0.6
18,0.8
18,0.4
